vocab,score,lemma
rather,0.25,rather
risks,0.5,risk
yet,1.5,yet
although,1.0,although
still,0.25,still
however,1.5,however
various,1.0,various
different,1.0,different
confusion,0.5,confusion
until,0.25,until
doubtful,0.5,doubtful
perhaps,0.5,perhaps
contrast,1.0,contrast
usually,0.5,usually
seem,0.5,seem
though,0.5,though
aspects,1.5,aspect
meditation,0.5,meditation
niche,1.0,niche
hope,0.5,hope
may,0.5,may
because,0.5,because
differences,1.0,difference
both,0.5,both
possible,0.5,possible
nevertheless,0.25,nevertheless
might,0.5,may
surprising,0.5,surprising
seemingly,0.5,seemingly
either,1.0,either
separate,0.5,separate
controversy,0.25,controversy
mainly,0.5,mainly
alternate,0.5,alternate
sometimes,1.0,sometimes
seems,0.5,seem
except,1.0,except
unless,1.0,unless
context,0.5,context
depends,0.75,depend
plus,1.5,plus
somewhat,0.5,somewhat
mostly,0.5,mostly
exception,1.0,exception
differently,1.0,differently
probably,0.5,probably
otherwise,1.0,otherwise
alternative,1.0,alternative
generally,0.25,generally
probable,0.5,probable
frequently,0.25,frequently
furthermore,1.5,furthermore
almost,0.5,almost
choices,1.0,choice
option,1.0,option
depend,0.75,depend
besides,0.25,besides
depending,0.75,depend
difference,1.0,difference
controversial,0.5,controversial
maybe,0.5,maybe
questionable,0.25,questionable
guess,0.5,guess
options,1.5,option
additionally,1.5,additionally
possibly,0.5,possibly
vague,1.0,vague
varies,1.0,vary
approximately,0.5,approximately
condition,0.25,condition
regardless,0.25,regardless
risk,0.5,risk
relatively,0.5,relatively
excepted,1.0,except
and/or,1.0,and/or
lest,0.5,lest
surprised,0.5,surprised
mysteries,0.5,mystery
partly,1.5,partly
hypothetically,1.0,hypothetically
beside,0.25,beside
similarly,0.75,similarly
neither,0.25,neither
dialectics,1.5,dialectic
consequently,0.5,consequently
alternately,0.5,alternately
elaborated,1.0,elaborate
unknown,1.0,unknown
mystery,0.5,mystery
diversities,1.5,diversity
secret,0.25,secret
secrets,0.25,secret
perplexity,0.5,perplexity
alongside,0.5,alongside
diverse,1.5,diverse
viewpoint,1.0,viewpoint
varying,1.5,vary
apparently,0.25,apparently
exceptions,1.0,exception
likewise,0.75,likewise
practically,0.25,practically
nearly,0.5,nearly
differed,0.25,differ
unexpected,0.5,unexpected
conjecture,1.0,conjecture
commonly,0.25,commonly
moderate,0.5,moderate
contradictory,0.5,contradictory
possibility,1.0,possibility
elaboration,1.0,elaboration
elaborate,1.0,elaborate
meanwhile,0.25,meanwhile
consequent,0.5,consequent
despite,0.25,despite
components,1.0,component
exceptional,1.0,exceptional
apparent,0.25,apparent
contradictions,0.5,contradiction
flexibility,1.5,flexibility
occasionally,0.25,occasionally
essentially,0.25,essentially
situational,1.0,situational
flexible,1.5,flexible
fluctuations,1.0,fluctuation
conversely,0.5,conversely
elastic,0.5,elastic
firstly,0.25,firstly
faceted,1.5,faceted
meditative,0.5,meditative
dependent,0.75,dependent
excepting,1.0,except
criteria,0.5,criterion
complex,1.5,complex
curious,0.5,curious
moreover,1.5,moreover
